Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
BCL2L1	38.2342	35.8466	21.283	19.5187	21.283	38.2342	13.6025	12.6999	21.6585	23.6104	16.9487	163.56	71.7706
BCOR	18.12	17.3318	15.2111	16.1123	15.2111	18.12	8.85622	8.31941	13.8473	16.5907	10.0543	3.35531	8.09796
BDKRB1	1	1.05496	1.51428	1.21335	1.51428	1	1	1.04558	1.77881	1.31513	1	4.30883	2.35594
BDNF-AS	2.70344	2.25553	2.11383	1.98786	2.11383	2.70344	2.55258	2.34642	3.03416	2.18642	2.84326	2.12573	2.20101
BFAR	36.1971	36.7447	29.6822	33.3445	29.6822	36.1971	34.4126	35.3119	18.841	19.8432	35.5628	16.2543	24.6943
BGLAP	1	1	1	1	1	1	1	1	5.05806	2.08891	1	1	4.8234
BLOC1S1	80.0031	65.8312	65.9108	35.5912	65.9108	80.0031	78.3588	54.7437	67.7869	90.609	68.7791	537.594	163.552
BLOC1S1-RDH5	1.8049	2.31307	1.70546	1.1737	1.70546	1.8049	1.88929	1.16104	8.69139	7.89121	2.079	24.285	7.15978
BMP1	2.07093	2.40038	3.51044	2.03389	3.51044	2.07093	5.21072	3.58895	17.4851	15.3411	5.70525	15.3331	5.73603
BMP5	1	1.03067	2.11597	2.15081	2.11597	1	2.05752	2.34807	10.6487	16.0955	3.68655	2.83862	2.23752
BMP7	2.04213	2.37074	4.50529	6.13726	4.50529	2.04213	12.5852	11.6624	5.39451	2.2498	12.1638	1.31404	1.96483
BMPER	1.28296	1.33727	5.71409	11.0855	5.71409	1.28296	1.55994	1.66302	1.88586	1.46409	2.77506	1.74654	1.65529
BMPR1B	1.46289	1.35993	3.26936	4.28682	3.26936	1.46289	4.13743	4.36726	2.29253	1.02487	6.17793	1.23126	1.04059
BMS1P17	1	1	1	1	1	1	1	1	1	1	1	1	1
BMS1P18	1	1	1	1	1	1	1	1	1	1	1	1	1
BMS1P6	1	1	1	1	1	1	1	1	1	1	1	1	1
BOD1L1	16.5054	18.3285	21.0585	24.0626	21.0585	16.5054	11.3221	12.493	13.0364	10.3965	11.1047	5.29419	7.28514
BRD2	77.4836	74.5783	97.2899	101.331	97.2899	77.4836	101.626	88.3608	64.7138	61.1724	94.6379	63.7799	59.8554
