Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
BRE	17.5929	15.1713	16.662	21.0953	16.662	17.5929	22.0034	29.0673	13.4197	19.4567	22.7042	14.0114	12.1369
BRE-AS1	1	1	1	1.0561	1	1	1.07145	1.03437	1.29771	1.64042	1.08498	1	2.4762
BRS3	1	1	1.05185	1	1.05185	1	1	1	1	1	1	1	1
BRWD1	15.9603	18.1382	19.1957	22.0323	19.1957	15.9603	15.0002	17.7075	17.5706	15.374	14.4415	10.2564	8.93855
BRWD1-AS1	1.11218	1	1.51486	1.32039	1.51486	1.11218	1	1.10268	1	1.17835	1.1205	1	1
BRWD1-IT2	1.06787	1	1.15574	1.09691	1.15574	1.06787	1.3874	1.12424	1.60618	1.69884	1.2187	5.52452	2.32463
BSPRY	3.47175	3.36237	4.71318	3.18331	4.71318	3.47175	1.87275	1.32653	8.84184	3.27309	1.52007	18.4141	16.2385
BTBD10	18.6971	18.4371	24.0001	35.5199	24.0001	18.6971	19.5294	23.0825	11.8539	10.7929	20.8254	20.3432	15.3651
BTBD2	6.34113	6.29531	10.8417	3.94099	10.8417	6.34113	8.9882	5.12227	35.742	44.6902	8.8524	43.3851	45.2127
BTF3	444.014	442.268	331.355	421.365	331.355	444.014	691.484	708.802	184.624	290.729	645.63	499.539	248.532
BTF3L4	29.2276	29.3766	17.3483	21.1994	17.3483	29.2276	28.4914	32.7619	5.97847	6.23259	26.9428	5.94647	8.29342
BTG1	9.21458	9.15004	4.64126	5.26985	4.64126	9.21458	10.9286	12.5072	26.0926	18.4699	13.1936	55.2178	41.8528
BTG2	5.46743	4.99252	38.8064	38.6548	38.8064	5.46743	36.6604	36.1457	72.6986	101.867	31.1274	25.9639	108.594
BTG3	25.4503	21.658	26.3631	33.2485	26.3631	25.4503	53.3523	64.2499	23.5117	18.2892	59.3892	16.37	14.3254
BTNL2	1.61016	1.1554	1	1	1	1.61016	1.13396	1	1.31459	1.18558	1.10084	1	1.09123
BUB1	115.261	117.273	60.9942	72.057	60.9942	115.261	68.52	83.2657	8.10237	10.1537	62.3713	1.73744	5.85122
C10orf10	1.50041	1.64975	1.23642	1.08407	1.23642	1.50041	1.28005	1.1886	5.53984	3.44068	1.25296	9.44217	43.5887
C10orf107	1.05213	1	1.29907	1.14889	1.29907	1.05213	1.54556	1.76344	2.16454	1.12372	1.44798	1	1.30429
C10orf11	1.39704	1.35056	1.18222	1	1.18222	1.39704	2.58649	2.16291	1.88632	3.26644	2.36478	4.53705	2.39815
C10orf111	1.10962	1.16163	1.29958	1.15813	1.29958	1.10962	1.31863	1.23839	1.27012	1.34552	1.04	1.79923	1.2807
C10orf113	1	1	1	1	1	1	1	1	1	1	1	1	1
C10orf25	2.18058	1.96218	1.56267	1.44092	1.56267	2.18058	1.88126	1.71484	2.31484	1.51586	1.85995	1.79968	2.90075
C10orf53	1	1	1	1	1	1	1	1	1	1	1	1	1.24627
C11orf49	11.7341	12.7095	16.0486	15.7999	16.0486	11.7341	24.8536	24.8635	15.5214	16.3649	26.6276	10.4271	16.2301
C11orf53	1	1	1	1	1	1	1	1	1.28808	1.35754	1	1	1.50324
C11orf54	15.4374	15.6979	14.7552	14.1172	14.7552	15.4374	19.929	19.292	27.3026	41.1816	17.6465	46.7199	17.3156
C11orf68	6.17597	4.88266	7.68126	3.02092	7.68126	6.17597	7.23238	4.73816	21.9037	15.095	7.03779	27.8196	27.3746
C11orf74	23.1942	23.7304	17.742	23.0527	17.742	23.1942	44.8164	50.1268	13.1348	10.0462	37.4365	8.77098	14.268
C11orf87	1.40025	1.31553	1.20775	1.31299	1.20775	1.40025	1.96103	2.29965	1.04262	1.01503	3.57963	1	1
C12orf40	1	1	1.07264	1	1.07264	1	1	1	1	1	1	1	1
C12orf60	3.25168	3.61588	2.49574	3.03079	2.49574	3.25168	7.82123	8.64724	1.6176	1.79735	7.11046	1	1.92363
C12orf66	4.99034	5.27814	3.43312	3.21417	3.43312	4.99034	4.42754	5.02801	2.54624	2.88961	4.15966	1	3.07295
C12orf71	1.28679	1.31651	1.24679	1.30715	1.24679	1.28679	1	1	1.10672	1.11362	1.15403	1	1
C12orf73	7.49435	7.56012	6.47287	6.6587	6.47287	7.49435	8.26072	10.8735	4.27984	4.13098	8.64615	4.24226	5.05658
C12orf74	1	1	1	1	1	1	1	1	1.17225	1	1	1	1.06402
C12orf79	1.21019	1.08701	1.29259	1.36539	1.29259	1.21019	1	1	1.27449	1.08947	1.15217	1	1.16458
C14orf159	7.50597	6.66105	6.27679	4.99733	6.27679	7.50597	8.03494	7.29299	18.3991	22.0906	7.93548	10.3396	17.5737
C14orf177	1	1	1	1	1	1	1	1	1.0375	1	1	1	1
C14orf178	1	1.14012	1	1.36365	1	1	1	1.11607	1.09481	1.20314	1	1	1
C14orf39	1.85398	1.77757	1.78388	1.94511	1.78388	1.85398	2.48274	2.44605	1.12728	1.01685	2.5136	1	1
C15orf39	4.73883	3.92703	3.74612	1.94219	3.74612	4.73883	3.2647	2.0302	11.8195	10.5802	3.37636	6.69048	18.2078
C15orf40	8.94877	8.97568	12.2723	10.786	12.2723	8.94877	10.8549	13.7142	12.2677	21.549	17.933	25.2149	13.418
C15orf53	1	1	1	1	1	1	1	1	1	1.04692	1	1	1
C16orf86	1.2052	1.05662	1.11772	1	1.11772	1.2052	1.09761	1.04695	2.41336	1.81159	1.22042	3.27281	3.89399
C17orf102	1	1	1	1	1	1	1	1	1.13957	1	1	1	1
C17orf112	1	1	1.09934	1.12364	1.09934	1	1	1	1	1	1	1	1
C17orf51	1.00709	1	1	1	1	1.00709	4.29073	4.47732	3.21926	1.63693	4.74595	1.46714	3.20042
C17orf75	11.4925	12.4425	11.1494	12.5983	11.1494	11.4925	14.6026	16.4391	4.85004	5.13227	14.2142	3.46928	3.91405
C18orf54	13.8889	14.552	9.96466	10.648	9.96466	13.8889	15.6978	20.843	5.32652	2.20049	14.5107	1.28794	1.6749
C1QL4	1.17614	1.0648	1.03368	1.04192	1.03368	1.17614	1.33516	1.02687	1.04375	1.13909	1.56763	1	1.05686
C1QTNF6	1.91989	1.79454	2.23903	1.42835	2.23903	1.91989	2.84546	2.55582	7.99321	8.43662	4.05032	3.49344	3.04337
C1orf100	1	1	1	1	1	1	1.26372	1	1	1	1	1	1
C1orf185	1	1	1	1	1	1	1	1	1	1	1	1	1
C1orf195	1	1	1	1.31331	1	1	1	1	1.35442	1.70368	1	1	1
C1orf21	11.652	12.0878	5.07607	6.6598	5.07607	11.652	5.49606	5.89964	8.80022	8.40673	6.47718	13.825	8.44187
C1orf234	1.17853	1	1	1	1	1.17853	1	1.16341	1	1	1	1	1
C1orf27	14.4656	14.6044	12.511	17.693	12.511	14.4656	16.6575	20.5779	11.026	12.0531	16.3706	10.3595	10.6831
C21orf58	5.30846	5.06987	4.39263	2.7673	4.39263	5.30846	4.11194	3.56511	5.63464	4.68316	3.6054	1	5.4917
C22orf29	4.95883	5.63173	4.68453	3.79023	4.68453	4.95883	6.7546	6.03092	5.47332	8.0129	6.83124	9.58731	8.29662
C2CD2	6.35491	6.41838	6.44417	6.13002	6.44417	6.35491	4.65739	4.85548	5.30943	4.74135	4.40136	2.06417	8.93945
C2CD3	6.78211	7.0018	6.64684	6.09406	6.64684	6.78211	6.85608	8.05594	5.15899	4.08719	6.9781	1.98734	4.5722
C2orf27A	1.64591	1.65346	1.55583	1.23059	1.55583	1.64591	1.76813	1.98533	1.64125	1.59622	1.636	1	1.52381
C2orf74	15.4077	18.3611	20.3023	25.0918	20.3023	15.4077	20.5704	21.9625	6.32888	10.211	18.0867	4.7123	6.86995
C2orf91	1.10874	1.13715	1.03565	1.04437	1.03565	1.10874	1.02956	1	1.01158	1	1.03337	1	1
C3orf14	9.59292	7.2375	5.06112	9.01992	5.06112	9.59292	4.19657	7.03208	5.61748	3.47185	7.51642	1	3.2447
C3orf58	18.8577	19.8791	26.6663	30.8695	26.6663	18.8577	21.4362	25.2442	10.4759	20.7805	21.6879	2.88064	6.80762
C4orf17	1	1	1	1	1	1	1.0363	1	1	1	1	1	1
C4orf19	1.44537	1.43942	1.18268	1.4077	1.18268	1.44537	1.43151	1.6415	13.678	16.5436	2.09518	21.6855	15.4955
C5orf22	22.3051	23.3813	20.4605	25.0141	20.4605	22.3051	20.7202	26.81	8.38394	8.82759	19.374	9.46651	8.92745
C7	1.04303	1.06332	1.06583	1.02048	1.06583	1.04303	1.57313	1.9715	36.2366	8.47772	1.50844	9.8349	53.874
C7orf13	3.09624	3.16894	2.77383	2.49673	2.77383	3.09624	2.44589	2.36706	5.66634	7.16451	2.71696	3.31088	4.8546
C7orf31	1.97875	2.02708	4.29537	4.87221	4.29537	1.97875	3.10657	2.77701	2.66225	1.99988	3.18889	4.17775	3.75846
C7orf49	21.7539	19.4935	20.8929	18.4304	20.8929	21.7539	21.7733	20.4584	15.4729	14.9807	19.076	29.9131	27.1229
C7orf65	1	1	1	1	1	1	1	1	1	1.01593	1	1	1
C8orf34	1.42521	1.41122	2.10778	2.97406	2.10778	1.42521	1.73832	2.25319	1.04132	1.02227	2.15065	1.97025	1
C8orf48	2.0997	2.1166	4.63393	5.83678	4.63393	2.0997	4.055	3.85861	1.8518	1.13911	3.97683	1.97311	1.51268
C8orf86	1.08011	1.08841	1	1	1	1.08011	1	1.02444	1	1	1.02868	1.58879	1.05169
C9orf170	1.08523	1.13169	1.03912	1.04868	1.03912	1.08523	1	1	1.13975	1	1	1	1.03293
C9orf57	1	1.04663	1	1.06034	1	1	1	1	1	1	1	1	1.08205
C9orf84	1.03558	1.02671	1.20833	1.05181	1.20833	1.03558	1.01151	1.03324	1.0983	1.06687	1.013	1	1.04673
CA10	1.20005	1.1987	1.1031	1.28567	1.1031	1.20005	2.82701	2.28173	1.59629	1.01578	2.48267	1	1.11602
CA12	4.7288	4.03341	1.46954	1.50089	1.46954	4.7288	3.01623	2.81935	38.4006	13.8209	4.18707	1.64306	3.03217
CA4	1.80512	1.76164	1	1	1	1.80512	2.47723	1.31582	5.92387	6.18863	1.98839	1	3.01622
CA5B	2.91236	3.40029	7.59341	6.63577	7.59341	2.91236	2.33778	2.56161	2.06917	1.65038	2.50039	1.61809	2.30044
CAB39L	4.90417	4.86546	5.51218	5.32897	5.51218	4.90417	7.95339	9.02727	4.85021	2.93896	8.5583	2.14091	5.39306
CABS1	1.48925	1.35998	2.49696	3.27063	2.49696	1.48925	1	1	1	1	1	1	1.07915
CACHD1	24.9763	24.1435	40.0704	55.1504	40.0704	24.9763	27.9523	30.9838	7.60271	6.63328	25.5974	1.2369	3.24572
CACNA1D	1.27364	1.43261	1.16122	1.16897	1.16122	1.27364	1.08443	1.04738	18.547	26.2273	1.07149	1.32497	3.35317
CACNA2D3	2.77862	1.97281	1.1806	1.42706	1.1806	2.77862	1.07487	1.11525	1.35194	1.08691	1.30434	1	1.06081
CACNB2	3.07779	2.89883	1.92226	2.16801	1.92226	3.07779	1.68423	1.73147	6.36052	6.7897	1.74226	1.31964	2.43078
CALB1	16.1668	17.7649	67.7533	133.23	67.7533	16.1668	1.17869	2.33234	3.69426	1.44474	2.48796	1	1.18168
CALHM1	1.24903	1.19028	1.02198	1	1.02198	1.24903	1.03645	1.01753	1	1.03023	1	1	1.11108
CALHM3	1.03773	1	1	1	1	1.03773	1	1.03453	1.11242	1.05963	1	1.83368	1
CALML4	11.0345	11.0233	5.2828	6.29678	5.2828	11.0345	8.29763	8.33929	23.4809	31.4805	7.91686	45.2343	27.0493
CAPN12	1.73114	1.8614	7.51574	4.07293	7.51574	1.73114	1.20943	1.16898	2.51883	10.6708	1.21417	1.46515	5.1637
CAPN2	21.8578	22.799	39.3844	46.149	39.3844	21.8578	53.537	52.6551	63.5281	33.3774	56.6576	52.8351	40.5733
CAPRIN1	143.767	148.627	108.609	139.478	108.609	143.767	191.836	226.739	51.7073	56.0277	185.653	27.8385	49.7864
CARD17	1	1	1	1	1	1	1	1	1	1	1	1	1
CARD6	1.42101	1.41819	1.20933	1.12024	1.20933	1.42101	1.05341	1.03854	1.62761	1.81906	1.01507	3.77835	10.674
CARHSP1	57.163	53.1715	57.6151	43.8143	57.6151	57.163	35.505	27.0592	23.3474	27.77	37.9281	17.8228	23.2324
CARKD	11.6142	11.5049	16.8679	13.3822	16.8679	11.6142	12.48	10.3241	23.3757	19.3047	12.2806	44.9685	33.6869
CASC1	1.02588	1.05713	1.29695	1.33262	1.29695	1.02588	1.24889	1.33163	1.32783	1.05314	1.417	1	1.05009
CASC10	3.57098	3.63481	7.00516	7.81828	7.00516	3.57098	3.0092	2.65285	3.14351	2.61949	3.07128	1.67538	2.18589
CASC15	5.79865	6.18872	15.0624	12.9919	15.0624	5.79865	4.57824	3.87867	2.83581	1.38414	4.09975	1	1.37702
CASC16	1.06855	1	1.1573	1	1.1573	1.06855	1	1	1.51021	1.59729	1	2.52351	1.93668
CASC17	1	1.0649	1	1	1	1	1	1	1	1	1	1	1
CASC2	1.34528	1.5405	1.53108	1.56446	1.53108	1.34528	2.00635	2.24487	1.7037	1.63319	2.33534	1	1.54075
CASC20	1.0402	1	1	1.05741	1	1.0402	1.03825	1	1	1	1	1	1
CAST	32.612	32.7385	23.3643	22.9655	23.3643	32.612	34.2746	35.3994	71.2686	91.4171	28.5215	81.2293	28.4709
CAT	1.02607	1	1.02991	1	1.02991	1.02607	2.95906	7.46544	51.9634	55.9419	6.65584	86.0518	44.2364
CBL	23.662	24.9339	24.4383	23.6191	24.4383	23.662	12.3552	12.8179	7.30153	5.78336	12.7086	2.84961	5.21133
CCDC102B	1.22999	1.28333	1.27505	1.18671	1.27505	1.22999	2.27308	2.46545	2.18419	1.92396	2.03313	3.88044	1.71645
CCDC114	1.18114	1.21992	1.08314	1.02587	1.08314	1.18114	1.03447	1.03316	1.39151	1.07146	1	1	1.21004
CCDC117	30.9217	34.0405	23.4833	27.146	23.4833	30.9217	37.4418	44.9562	17.3453	19.6606	34.1566	11.6081	11.0327
CCDC140	1	1	1	1	1	1	1.52151	1.40138	1	1	1.54957	1	1
CCDC144A	1.09714	1.1501	1.03344	1.01387	1.03344	1.09714	1	1	1.02897	1	1.01043	1	1.11245
CCDC144CP	1.12292	1.10552	1.2194	1.23405	1.2194	1.12292	1.15593	1.05001	1.06108	1.05386	1.04401	1	1.02637
CCDC144NL	1.90286	1.76472	1.21682	1.26985	1.21682	1.90286	1.0799	1.07687	1.07824	1	1.15788	1	1
CCDC148	1.81982	1.87247	2.23999	2.00378	2.23999	1.81982	2.67168	3.00353	1.13078	1.20837	2.08129	1	1
CCDC148-AS1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC150	14.4975	15.1172	9.33768	11.982	9.33768	14.4975	6.37541	7.09092	1.86563	2.94366	5.68682	1	1.33347
CCDC152	9.52599	9.46127	7.33624	7.98928	7.33624	9.52599	1.07968	1.13403	17.3703	17.9405	1.09253	4.90271	3.29239
CCDC171	2.26229	2.94459	2.87076	3.2532	2.87076	2.26229	3.23921	3.63569	2.01928	1.88143	3.37288	1	1.55846
CCDC184	1.79142	1.30994	1.05858	1.03646	1.05858	1.79142	1.99582	2.21509	5.14701	1.04031	3.16646	1.5628	3.76687
CCDC185	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC40	2.81752	2.95721	2.61727	1.74662	2.61727	2.81752	1.95276	1.81181	2.22253	1.59856	1.78282	1.71952	1.5385
CCDC58	57.8644	60.4743	27.3421	40.463	27.3421	57.8644	59.549	79.4122	9.37772	14.5121	59.9135	20.0351	12.7079
CCDC59	27.0897	27.622	22.248	29.8879	22.248	27.0897	27.397	31.331	9.33936	9.60669	27.2329	11.8004	23.1224
CCDC64	6.7349	6.21859	3.44032	3.22363	3.44032	6.7349	1.1084	1.12167	3.50495	2.30352	1.34677	4.76302	4.52355
CCDC71	9.29012	7.63711	11.3306	5.90031	11.3306	9.29012	9.40424	6.13118	11.4282	12.1383	8.0438	16.0039	23.9871
CCDC81	1.35522	1.26192	11.1618	8.84531	11.1618	1.35522	1.15771	1.28212	1.20539	1.18403	1.50839	1	1.09163
CCDC85B	1.85032	1.35192	1.48782	1.30357	1.48782	1.85032	1.65729	1.3405	7.68767	5.79327	1.62796	22.1989	49.9189
CCDC90B	16.4442	16.0803	31.478	38.6482	31.478	16.4442	16.6799	19.7184	7.50697	8.19781	14.034	11.0497	7.65917
CCDC92	1.34382	1.34152	19.1468	13.8637	19.1468	1.34382	6.98602	6.28694	17.1365	16.0201	7.98029	24.5359	31.463
CCDC97	7.43056	7.07222	15.1937	11.8093	15.1937	7.43056	8.11811	6.80568	14.0197	13.3995	8.99927	10.2566	18.5717
CCER1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCL21	1	1	1.09072	1	1.09072	1	1.07522	1	17.3552	17.548	1	16.8466	168.038
CCM2L	3.81616	3.02025	2.02322	1.36864	2.02322	3.81616	2.13867	1.96661	2.08424	2.03729	1.8571	2.0343	5.67617
CCNB2	86.9102	86.0426	70.583	92.7058	70.583	86.9102	128.798	151.946	12.497	13.617	108.424	7.2861	24.1817
CCNO	1	1	1	1	1	1	1	1	1	1	1	1	1.86429
CCNYL1	24.3926	24.1714	39.7195	51.7845	39.7195	24.3926	7.96019	9.83788	8.48027	8.33936	8.19374	18.0499	10.192
CCSER2	9.6466	11.5957	11.3654	13.5655	11.3654	9.6466	9.59299	12.104	10.0949	5.61946	11.061	15.9674	15.5275
CCT2	335.855	338.764	247.479	367.01	247.479	335.855	412.36	503.171	59.9414	63.8483	390.71	58.873	53.6236
CCT8L2	1	1	1	1	1	1	1	1	1	1	1	1	1
CD163L1	1.0624	1	1.07159	1.23166	1.07159	1.0624	1.02374	1.01142	6.20897	7.18998	1	4.0187	1.6263
CD177	1.48731	1.50795	7.70965	7.41764	7.70965	1.48731	1.02576	1.04956	1.22189	1.06412	1.05816	1	1
CD1A	1	1	1.03315	1	1.03315	1	1	1	1.02153	1	1	1	1
CD1C	1.04576	1.0505	1	1	1	1.04576	1	1	1.25573	1.09028	1	1	1.08851
CD200R1L	1.15008	1.27607	1	1	1	1.15008	1	1	1.03725	1	1	1	1
CD2AP	41.8414	46.3993	31.253	40.0311	31.253	41.8414	27.1235	28.1118	24.4727	34.0961	23.5275	69.2986	20.5444
CD2BP2	23.8248	22.5359	27.5974	21.5653	27.5974	23.8248	29.8242	21.0521	16.5557	16.8759	30.7901	34.6404	25.0828
CD33	1.12087	1.06844	1.27764	1.61719	1.27764	1.12087	1.23599	1.05532	3.44626	3.92912	1	6.49142	3.77386
CD3D	1	1	1	1	1	1	1.12833	1	1.80234	4.48102	1	26.0304	4.71106
CD3G	1	1	1.05663	1	1.05663	1	1	1.04517	1.62478	1.97585	1.05301	1	1.28791
CD47	9.75723	10.1752	2.54124	2.82075	2.54124	9.75723	9.64641	12.0251	21.1857	14.5997	10.5031	4.97071	15.4325
CD58	8.59748	8.6274	5.82125	8.57109	5.82125	8.59748	5.24369	6.63812	7.40611	15.3437	5.01834	26.5365	15.17
CD63	345.842	315.259	608.96	700.624	608.96	345.842	448.062	464.309	405.033	618.009	452.483	770.04	257.227
CD9	112.284	114.368	42.056	44.9985	42.056	112.284	28.4868	22.669	157.689	111.205	29.8672	41.3265	116.519
CDC14B	23.1105	24.0057	21.2024	22.5541	21.2024	23.1105	17.5377	19.2587	4.76791	9.74225	15.4398	8.55663	7.54795
CDC34	21.3388	19.3173	23.0737	13.2588	23.0737	21.3388	25.2084	18.367	27.263	36.8136	26.0633	81.8334	40.9357
CDC7	53.7562	53.0557	26.5475	33.8935	26.5475	53.7562	55.8286	68.3104	6.49914	6.14727	51.8767	1.40346	6.59572
CDCA2	23.0492	23.757	20.6294	27.8711	20.6294	23.0492	27.9199	32.5452	3.48997	3.85579	23.5332	1.3419	4.45143
CDH1	93.9398	93.4786	15.9543	12.81	15.9543	93.9398	29.2375	19.2412	139.757	164.002	27.3332	67.6954	96.5902
CDH17	1.0469	1.12078	1.12557	1.06698	1.12557	1.0469	2.90387	2.5884	140.232	186.822	2.81375	239.766	120.382
CDH18	1.19694	1.48146	1.09098	1.32473	1.09098	1.19694	1.1262	1.10887	1.19763	1.34389	1.06387	1	1
CDH19	1.01928	1.06018	1	1.02753	1	1.01928	1	1.00882	3.94968	1.34405	1.04142	1.84757	3.26941
CDH26	1.32901	1.40861	1.28379	1.32021	1.28379	1.32901	1.11732	1.03346	1.27274	1.68107	1.19859	2.36868	1.24726
CDH4	2.71343	2.46752	2.12633	1.78069	2.12633	2.71343	1.63022	1.76853	2.1947	3.25841	2.98962	1	1.13771
CDH5	1.15315	1.21513	1.22365	1.2187	1.22365	1.15315	2.24512	1.75187	10.6822	8.445	2.03195	2.22504	26.1896
CDH6	1.79009	1.74227	1.45701	1.58744	1.45701	1.79009	7.46688	12.2658	4.0132	4.41234	13.8217	1.14343	2.80028
CDH7	1.56278	1.47778	1.02483	1.0309	1.02483	1.56278	25.8559	17.4044	1.43645	1.0854	19.1825	1	1
CDH9	1.58991	1.52505	1	1	1	1.58991	1	1	1.66655	2.20115	1.04088	1	1.14712
CDK1	102.905	105.366	91.1248	134.029	91.1248	102.905	149.98	183.864	18.5457	18.6059	135.309	3.3537	22.198
CDK17	11.8675	11.7392	26.5702	34.964	26.5702	11.8675	15.9322	19.0705	9.61631	11.4611	17.6923	7.33915	6.21987
CDK3	4.26334	5.1051	10.3276	5.62638	10.3276	4.26334	3.98897	3.23305	6.26773	5.7136	3.98304	70.9757	6.94306
CDKL4	1.04008	1	1.09198	1.05724	1.09198	1.04008	1.07627	1	1.11942	1.06336	1	1	1.0778
CDKN1B	13.5152	15.4629	29.2869	37.6525	29.2869	13.5152	26.0916	31.1804	41.5356	44.8288	33.1534	43.5901	72.7688
CDKN2A	1.11537	1.06366	1.06618	1.16476	1.06618	1.11537	1	1.1584	2.17109	1.59357	1.12393	2.27954	1
CDKN2AIPNL	23.7898	26.0373	22.5517	28.5658	22.5517	23.7898	24.9093	32.6701	7.47025	12.2783	26.71	42.5007	29.244
CDKN2B	1.14939	1.04946	2.26845	3.4107	2.26845	1.14939	1.46903	1.51961	9.34002	7.34663	2.10729	63.7786	11.9343
CDKN2B-AS1	1.08379	1	1.02552	1.10821	1.02552	1.08379	1	1.07669	1.9311	1.40374	1.13946	3.91943	1.42721
CDON	5.54875	6.01527	3.74145	3.56641	3.74145	5.54875	6.61326	6.34298	7.40325	3.65209	7.50243	1	2.03423
CDRT8	1.10608	1	1	1	1	1.10608	1	1	1	1	1	1	1
CDX1	1	1	1	1.04976	1	1	7.19879	5.94316	115.986	118.728	5.52872	134.116	167.394
CDX4	2.51058	3.13027	1.09629	1.23968	1.09629	2.51058	1.47904	1.38406	1	1	1.99161	1	1
CDYL2	1.78009	1.5047	3.46915	3.22796	3.46915	1.78009	1.53743	1.22159	2.22263	1.76455	1.72238	1	4.07238
CEACAM5	1	1.05522	1.40205	1.04763	1.40205	1	1.1111	1	66.2018	18.422	1.17922	2.46899	21.8532
CEACAM6	1	1.05031	1.20921	1	1.20921	1	1.1301	1	27.496	13.79	1.04897	15.5638	41.9567
CEACAM8	1	1	1	1	1	1	1	1	1.62064	1	1.02796	1	1.05038
CEBPE	1	1	1.04668	1	1.04668	1	1	1	1.0606	1.0643	1	1.89936	1
CECR2	26.1944	27.4887	24.8704	21.6621	24.8704	26.1944	17.192	17.6064	3.26122	1.46009	16.2736	1.12787	1.42653
CECR3	1.03195	1.14104	1.03666	1.09125	1.03666	1.03195	1	1	1.11901	1.02523	1.03432	1	1
CELF1	59.7252	64.644	78.9468	80.0374	78.9468	59.7252	58.5287	57.359	23.6345	25.7458	52.2093	18.0429	24.5772
CELF2	13.2456	14.149	42.2108	51.2843	42.2108	13.2456	5.34651	5.86457	7.47894	3.54598	7.2977	4.39126	8.86856
CEMIP	1.19069	1.228	1.23703	1.24962	1.23703	1.19069	1.15118	1.05818	1.94178	1.18791	1.1707	1	2.3638
CENPK	47.5899	47.9639	28.0086	37.2791	28.0086	47.5899	52.0457	65.0736	7.71653	6.34248	50.7336	1.80836	7.1749
CENPN	30.7164	32.1611	23.3567	31.14	23.3567	30.7164	29.4809	37.7201	4.64785	4.30236	31.1475	3.89171	7.64023
CEP170	13.2783	14.3589	19.6862	23.7117	19.6862	13.2783	12.2534	16.095	4.2906	2.54732	14.0066	1.36334	2.52865
CEP41	3.90409	4.02569	3.38783	4.04766	3.38783	3.90409	8.28029	8.38962	3.86732	2.93107	8.6201	1.58606	3.2732
CEP55	18.6749	20.7679	42.5901	70.6811	42.5901	18.6749	29.2355	43.7381	5.17255	4.01077	26.8656	2.04149	19.5115
CEP76	12.6419	12.6661	9.97702	11.9914	9.97702	12.6419	11.7196	14.7888	4.47374	3.9488	11.0159	4.34577	3.22337
CERS6	18.8482	21.0108	36.8725	43.9755	36.8725	18.8482	31.559	37.0357	26.7807	30.5951	27.8091	8.63269	27.713
CERS6-AS1	3.42558	2.03209	3.32183	5.89766	3.32183	3.42558	2.56197	5.69323	5.2804	5.33038	3.77379	1.84639	23.9866
CES1	1	1.03341	1.06946	1.04322	1.06946	1	1	1.11082	11.8182	11.0587	1.09754	2.33772	2.8792
CES5A	1.03001	1.03313	1.75773	1.17146	1.75773	1.03001	1	1	1	1	1	1	1
CETN4P	1.51418	1.70935	1.44247	1.18356	1.44247	1.51418	1.48918	2.41189	1	1	1.82849	1	1.50799
CFC1	1	1	1.10085	1.00001	1.10085	1	1.04181	1	1.0982	1.10424	1	1	1.08537
CFC1B	1	1	1	1	1	1	1	1	1	1	1	1	1
CFHR2	1	1	1	1	1	1	1	1	1.04888	1	1	1	1
CFHR5	1	1.02298	1	1.05946	1	1	1.01981	1.01906	1.01552	1	1	1	1
CFL1P1	1.11406	1.06294	1.06543	1.04072	1.06543	1.11406	1.27128	1.18269	1.27619	1.22515	1.33692	1	1
CFL2	12.8592	12.6807	12.4622	16.9641	12.4622	12.8592	37.5704	47.2406	17.0611	5.64017	36.9961	12.2069	10.6557
CFLAR	7.10637	8.19375	75.2715	84.1666	75.2715	7.10637	1.24597	1.77685	20.8405	25.9823	2.30228	38.1436	22.141
CGN	16.6415	16.5636	6.78598	5.11036	6.78598	16.6415	7.06065	4.84975	50.3067	84.3259	6.27304	185.452	21.9917
CGNL1	28.7267	29.6758	51.7737	52.1991	51.7737	28.7267	21.7021	17.7043	5.60654	3.42946	19.7345	1.85497	3.47644
CHCHD6	11.3106	10.5321	8.68198	4.6331	8.68198	11.3106	12.975	7.80219	6.38219	6.0377	12.507	9.9255	5.96483
CHD2	21.2266	21.3385	37.9832	39.6725	37.9832	21.2266	22.1446	21.7175	21.7114	22.9923	21.1047	15.0171	14.7505
CHEK2	40.3517	41.4792	18.8506	18.2684	18.8506	40.3517	35.3224	40.7072	7.29988	10.3318	31.4041	4.84976	7.82769
CHGA	31.0944	29.1646	3.79511	2.39998	3.79511	31.0944	1.11305	1.05438	901.928	621.704	1.76589	27.8728	159.992
CHIC1	6.1904	6.66548	3.80473	4.83977	3.80473	6.1904	10.5815	10.8297	4.92394	6.15158	8.20343	2.07424	2.46149
CHL1-AS1	1	1	1.20771	1.3707	1.20771	1	1.08388	1	1.30807	1	1	1	1
CHMP2A	53.5519	46.1581	53.4287	33.1303	53.4287	53.5519	37.2146	24.6975	51.5889	70.4084	32.4535	254.875	86.3742
CHMP3	12.7382	13.0947	10.7972	13.8984	10.7972	12.7382	37.0779	44.6855	46.2146	39.1848	41.0194	82.7134	62.2176
CHRNA10	1.06276	1.17317	1.07201	1.35849	1.07201	1.06276	1.11942	1.14361	1.49096	1.49568	1.10112	5.84783	1.60803
CHRNA2	1.0286	1.01578	1	1	1	1.0286	1	1	1.25299	1.50786	1.01535	1	1.11051
